Epoch,Train Loss,Val Loss,Train mIoU,Val mIoU,Train IoU - Sidewalk,Train IoU - Braille Guide Blocks,Train IoU - Roadway,Train IoU - Alley,Train IoU - Bike Lane,Train IoU - Caution Zone,Train IoU - Cross walk,Val IoU - Sidewalk,Val IoU - Braille Guide Blocks,Val IoU - Roadway,Val IoU - Alley,Val IoU - Bike Lane,Val IoU - Caution Zone,Val IoU - Cross walk
1,0.5718462331496065,0.45653794715358953,0.3691040271787181,0.4461276675500205,0.68275362634149,0.1532951059395055,0.2809699242260269,0.6652352648271354,0.5045421576409651,0.19366611876596684,0.10326599250993712,0.6833676440433267,0.48396018407942454,0.2566104986589585,0.7144461235910889,0.5047974098381559,0.28616352554631314,0.19354828709287544
2,0.3785845872536232,0.3881457444480379,0.46237192325406584,0.48576921445697135,0.6993994177736127,0.4271665250670487,0.3527829495514609,0.7279474997238518,0.5719116314631792,0.28240629140834744,0.1749891477909603,0.6586181612147728,0.527607532642725,0.29136441725578865,0.7410703342473858,0.5819928328815247,0.33076525431156095,0.2689659686450416
3,0.37869637536134854,0.36958356102669204,0.4774969905422725,0.5105376079507732,0.6771121602289216,0.48562353763050103,0.368857552969598,0.7134912004672455,0.6075419529727061,0.3013154875322102,0.18853704199472512,0.6692197483953826,0.5881339036205775,0.37495003856612386,0.7515014785855504,0.6067148355060923,0.36125819187465674,0.22198505910702923
4,0.3644018332873072,0.32319399673793403,0.501469337772731,0.5323737207990245,0.6825663551465286,0.5604533705231751,0.3808178157807651,0.7418496164665688,0.5829992280877542,0.3389226343698911,0.22267634403443354,0.6863627118853253,0.6029237213384891,0.3266139090209312,0.7520907592163666,0.626951345607941,0.4468688863756578,0.28480471214845965
5,0.3442637558561111,0.3756653826761723,0.5133391022949281,0.48749279312992666,0.6831541542345064,0.5187398546048632,0.4548183501314267,0.7190696923920896,0.6684451217682544,0.3465154478032961,0.20263109513006042,0.6543087266163808,0.5578484784137857,0.35588280973042463,0.756536556736208,0.617652860241931,0.2172519794883471,0.25296814068240925
6,0.3214065884253018,0.35197771354845375,0.5157727239411879,0.5123430963340184,0.6869780990950233,0.5181427300064099,0.45556260158159545,0.7467169819734633,0.6152877202089798,0.36304703997052945,0.22467389475231367,0.6834053805427817,0.629197162730011,0.358188493617256,0.7559872703582362,0.6307082268186253,0.31552382406718577,0.21339131620403262
7,0.35468046804176667,0.34783582949334646,0.5064287448793042,0.5040132670336086,0.6682255482294587,0.5396659884010204,0.42247420364774185,0.72225828681445,0.6230636448405754,0.3415392063763675,0.22777433584551554,0.6586259628566974,0.5403564093629432,0.3366577840501433,0.7376347384442713,0.6499518596616078,0.27985229656298205,0.325013818296615
8,0.34816724125828064,0.3301093925987188,0.5214541843737865,0.5319959992112341,0.674950581494336,0.5672248953764076,0.4054059056819791,0.7459072989948794,0.5971829803398621,0.3786915421939186,0.28081608653512385,0.6939461183560873,0.6018593882062746,0.39818616543308016,0.7540908428657249,0.6216030678512259,0.3880015472349112,0.26628486453133426
9,0.3354713336260006,0.36140226287338495,0.523970208505827,0.5106765545790204,0.6804833855326133,0.5441426695751554,0.45995367709371865,0.7249376057575816,0.6347676688604466,0.3863368326278451,0.23716962009342898,0.6786618115312892,0.6302294687081488,0.35488515454377084,0.732845864582415,0.625468281735524,0.29912142105490636,0.2535238798970887
10,0.3115040656286267,0.3673678590179683,0.5229290291552914,0.5073572769064193,0.6869428600509214,0.5342348913435346,0.45893706149751357,0.7519380347832482,0.6366165237034069,0.36139139245161794,0.23044244025679725,0.6752723247965864,0.6205272920165043,0.35932422308303086,0.7391902328589431,0.6355862197212944,0.238924730559518,0.2826759153090576
11,0.34864012222899454,0.3614563911583773,0.5146703031288874,0.5293612998735117,0.6735112619132831,0.5370498094753601,0.4216473143806615,0.7262666011450729,0.6521534969307818,0.3544549123148272,0.23760872574222425,0.6617412142832751,0.5929034531108591,0.35824446586876485,0.7248518937916779,0.6401276462419802,0.42439671274311347,0.3032637130749108
12,0.3410259298980236,0.33526506013930985,0.5191953157381042,0.530269395634619,0.6750161619684266,0.5978113663279397,0.3991877660353979,0.7457747034574028,0.5865520136575936,0.3442279994664213,0.28579719925354746,0.6977256108252167,0.605868336787721,0.40693496585063793,0.7703738080999234,0.6460845954255213,0.4028909491975377,0.1820075032557742
13,0.3273116467662076,0.4120980165458138,0.5326513718778765,0.48286374706406204,0.6695660061968107,0.537223229935098,0.48419128700639913,0.733026373374891,0.6669011688441482,0.38746465278498204,0.2501868850028057,0.648900668147196,0.5846280367568475,0.369218376646546,0.7064838547483502,0.4594553639714524,0.2986247773183303,0.31273515185971196
14,0.3140348853616654,0.37773354740659143,0.5207274528298493,0.5259964262549026,0.682027876570831,0.5515318656631562,0.4582883148588712,0.7527469829460152,0.6144619769596015,0.34992564255616404,0.2361095102543062,0.6533729479969903,0.6260221063895944,0.3995331605735784,0.7355779377227118,0.6479601702679094,0.3687081210075622,0.2508005398259724
